diem,toan,ngoai_ngu
0,1,1
0.2,0,0
0.4,0,0
0.6,11,3
0.8,22,34
1,85,106
1.2,199,361
1.4,464,713
1.6,856,1619
1.8,1488,3302
2,2370,5868
2.2,3379,8732
2.4,4613,12280
2.6,5929,16517
2.8,6920,20491
3,8145,23980
3.2,9450,26527
3.4,10673,28537
3.6,11987,29183
3.8,13454,29498
4,14986,29504
4.2,16519,28943
4.4,17928,28317
4.6,19593,27791
4.8,21730,26867
5,23301,25860
5.2,24943,24631
5.4,26711,23337
5.6,28011,22660
5.8,29725,21964
6,31210,21090
6.2,32877,20102
6.4,34974,19403
6.6,37229,18911
6.8,39978,18665
7,43491,18354
7.2,46401,18464
7.4,50532,18219
7.6,52947,18498
7.8,53972,18915
8,53133,19319
8.2,49929,20258
8.4,44855,21176
8.6,37943,22490
8.8,29562,23724
9,20147,24471
9.2,11097,24251
9.4,5049,21582
9.6,1647,16586
9.8,368,10543
10,52,4345
